"FullName","Kind","SizeBytes","LastWrite"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\ultra\Skyrim.ini","Archivo","911","2022-02-20 18:19:24"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\ultra\SkyrimPrefs.ini","Archivo","1814","2022-02-20 18:18:56"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Skyrim.ini","Archivo","52180","2021-11-13 15:00:58"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\SkyrimPrefs.ini","Archivo","3849","2021-11-13 15:01:30"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\high\Skyrim.ini","Archivo","912","2020-08-29 08:51:34"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\high\SkyrimPrefs.ini","Archivo","1805","2020-08-29 09:11:48"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\low\Skyrim.ini","Archivo","912","2020-08-29 08:51:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\low\SkyrimPrefs.ini","Archivo","1798","2020-08-29 09:11:50"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\medium\Skyrim.ini","Archivo","912","2020-08-29 08:51:18"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\medium\SkyrimPrefs.ini","Archivo","1799","2020-08-29 09:11:50"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\ultra\Skyrim.ini","Archivo","912","2020-08-29 08:51:08"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\Vanilla-Presets\ultra\SkyrimPrefs.ini","Archivo","1815","2020-08-29 09:11:48"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim\BethINI-Presets\high","Directorio","-","2022-04-30 18:39:28"
